name,provider_id,type,region,state,address,phone,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date
KNOX COUNTY ASSOCIATION FOR REMARKABLE CITIZENS,15G689,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"2918 E ARC AVE BLDG 101
VINCENNES, IN 47591",812 895-0059,2001-06-29,8,No,Non-Profit,,
KNOX COUNTY ARC-ARC AVE (105),15G693,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"2968 E ARC AVE BLDG 105
VINCENNES, IN 47591",812 895-0059,2001-06-29,8,No,Government,"Vol-Merg, Close",2016-03-01
CARDINAL SERVICES INC OF INDIANA,15G694,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"807 N JEFFERSON STREET
SILVER LAKE, IN 46982",574 267-3823,2001-12-05,8,No,Non-Profit,,
CARDINAL SERVICES INC OF INDIANA,15G695,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"1109 N PARK AVE
WARSAW, IN 46580",574 267-3823,2002-02-25,8,No,Non-Profit,,
"ARC OF NORTHWEST INDIANA INC, THE",15G696,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"336 W 56TH ST
MERRILLVILLE, IN 46410",219 884-1138,2002-02-05,5,No,Non-Profit,"Vol-Merg, Close",2013-10-04
DEVELOPMENTAL SERVICES INC,15G697,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"4251 RIVER RD
COLUMBUS, IN 47203",812 376-9404,2002-03-27,6,No,Non-Profit,,
CARDINAL SERVICES INC OF INDIANA,15G698,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"1300 MITCHEL ST
ROCHESTER, IN 46975",574 732-0983,2002-04-18,8,No,Non-Profit,,
"ARC OF NORTHWEST INDIANA INC, THE",15G699,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"6101 HAYES ST
MERRILLVILLE, IN 46410",219 985-6715,2002-04-24,4,No,Non-Profit,Invol-Fail Req,2013-10-09
"ARC OF NORTHWEST INDIANA INC, THE",15G700,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"7318 ARKANSAS AVE
HAMMOND, IN 46323",219 884-1138,2002-05-03,5,No,Non-Profit,"Vol-Merg, Close",2013-10-04
"ARC OF NORTHWEST INDIANA INC, THE",15G701,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"3117 WOODBINE
PORTAGE, IN 46368",219 884-1138,2002-11-13,5,No,Non-Profit,"Vol-Merg, Close",2013-10-04
CAREY SERVICES INC,15G702,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"7891 E 296TH ST
ATLANTA, IN 46031",765 668-8961,2002-11-27,6,No,Non-Profit,"Vol-Merg, Close",2017-08-08
"ARC OF NORTHWEST INDIANA INC, THE",15G703,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"5475 STONE AVE
PORTAGE, IN 46368",219 884-1138,2002-12-09,5,No,For Profit,"Vol-Merg, Close",2013-10-04
LIFE DESIGNS INC,15G704,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"6630 RHINESTONE DR
ELLETTSVILLE, IN 47429",812 876-6682,2003-08-05,6,No,Non-Profit,"Vol-Merg, Close",2016-08-21
BENCHMARK HUMAN SERVICES,15G705,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"59310 IRELAND RIDGE CT
SOUTH BEND, IN 46614",574 233-8812,2003-08-18,4,No,For Profit,,
AWS,15G706,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"1397 WILDERNESS TR
OSCEOLA, IN 46561",574 233-8812,2003-08-22,4,No,For Profit,"Vol-Merg, Close",2011-10-28
BENCHMARK HUMAN SERVICES,15G707,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"1105 N HILL ST
SOUTH BEND, IN 46617",574 233-8812,2003-09-12,4,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G708,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"25565 FAST FOX TR
SOUTH BEND, IN 46628",574 233-8812,2003-09-30,4,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G709,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"55737 REEVES DR
OSCEOLA, IN 46561",574 651-3645,2003-11-11,4,No,For Profit,"Vol-Merg, Close",2018-01-27
BENCHMARK HUMAN SERVICES,15G710,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"55883 RING NECK DR
OSCEOLA, IN 46561",574 675-4932,2003-11-11,4,No,For Profit,,
BENCHMARK HUMAN SERVICES,15G711,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"568 HILDEBRAND ST
SOUTH BEND, IN 46614",574 233-8812,2003-11-04,4,No,Non-Profit,,
REM-INDIANA INC,15G712,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"8337 N COLLEGE AVE
INDIANAPOLIS, IN 46240",317 581-2380,2003-11-10,7,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G713,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"55021 BIRCH RD
OSCEOLA, IN 46561",260 256-0207,2003-12-10,4,No,For Profit,,
BENCHMARK HUMAN SERVICES,15G714,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"100 S CR 265 W
NORTH VERNON, IN 47265",260 744-6145,2004-04-22,4,No,For Profit,,
LIFE DESIGNS INC,15G715,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"523 PARK LN
NASHVILLE, IN 47448",812 988-1257,2004-06-04,6,No,Non-Profit,"Vol-Merg, Close",2017-05-25
"NEW HOPE OF INDIANA, INC",15G716,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"8521 CROWN POINT RD
INDIANAPOLIS, IN 46278",317 338-9600,2004-06-14,4,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G717,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"2405 HURLEY DR
NORTH VERNON, IN 47265",260 744-6145,2004-09-22,4,No,For Profit,,
BENCHMARK HUMAN SERVICES,15G718,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"2331 CANDLEWICK DR
FORT WAYNE, IN 46804",260 744-6145,2005-03-09,4,No,For Profit,,
REM-INDIANA INC,15G719,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"1406 W TARKINGTON DR
GREENSBURG, IN 47240",812 662-8626,2005-03-07,4,No,For Profit,,
REM-INDIANA INC,15G720,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"82 BENNY LN
NORTH VERNON, IN 47265",812 346-6858,2005-03-16,4,No,For Profit,,
BENCHMARK HUMAN SERVICES,15G721,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"6835 W CR 950 N
SCIPIO, IN 47273",260 744-6145,2005-04-14,4,No,For Profit,"Vol-Merg, Close",2021-11-06
REM-INDIANA INC,15G722,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"645 E BRIDGE ST
BROWNSTOWN, IN 47220",812 358-2725,2005-05-10,4,No,Non-Profit,,
RES CARE COMMUNITY ALTERNATIVES SE IN,15G723,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"13009 HORIZON DR
MEMPHIS, IN 47143",812 258-2370,2005-09-02,6,No,Non-Profit,,
IN-PACT INC,15G724,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"9321 SULLIVAN LN
CROWN POINT, IN 46307",219 662-1905,2006-02-08,6,No,Non-Profit,,
BETHESDA LUTHERAN COMMUNITIES INC,15G725,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"370 FRANCISCAN DR
VALPARAISO, IN 46385",219 364-0741,2006-03-30,6,No,Non-Profit,"Vol-Merg, Close",2020-11-11
OPPORTUNITY ENTERPRISES,15G726,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"501 ALBERT ST
VALPARAISO, IN 46383",219 464-9621,2006-09-07,6,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G727,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"1228 BRANDON WAY
FORT WAYNE, IN 46809",260 744-6145,2006-08-18,4,No,For Profit,,
BENCHMARK HUMAN SERVICES,15G728,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"2325 PERRY TR
FORT WAYNE, IN 46825",260 744-6145,2006-10-05,4,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G729,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"4331 MELBOURNE RD
INDIANAPOLIS, IN 46228",317 972-1206,2006-11-03,4,No,For Profit,,
IN-PACT INC,15G730,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"1487 W 4TH ST
HOBART, IN 46342",219 662-1905,2006-11-06,6,No,Non-Profit,,
PATHFINDER SERVICES INC,15G731,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"495 THOMAS RD
HUNTINGTON, IN 46750",800 833-1571,2006-11-20,8,No,Non-Profit,,
BONA VISTA PROGRAMS INC,15G732,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"1730 OSAGE DR
KOKOMO, IN 46902",765 865-9040,2006-12-14,8,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G733,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"25799 ROLLING HILLS DR
SOUTH BEND, IN 46614",574 233-8812,2007-01-02,4,No,For Profit,,
BENCHMARK HUMAN SERVICES,15G734,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"9726 CINNABAR PL
FORT WAYNE, IN 46804",260 744-6145,2007-03-16,4,No,Non-Profit,,
REM OCCAZIO LLC,15G735,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"1206 S MAIN ST
NEW CASTLE, IN 47362",765 546-0042,2007-04-25,8,No,Non-Profit,,
ABILITIES SERVICES INC,15G736,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"2200 S EARL AVE
LAFAYETTE, IN 47905",765 362-4020,2007-05-18,6,No,Non-Profit,,
PEAK COMMUNITY SERVICES INC,15G737,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"1211 WOODLAWN AVE
LOGANSPORT, IN 46947",574 753-4104,2008-01-11,6,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G738,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"3224 W 1100 N
MARKLE, IN 46770",260 744-6145,2008-04-07,4,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G739,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"16315 FEIGHNER RD
ROANOKE, IN 46783",260 744-6145,2008-04-07,4,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G740,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"6566 E 1200 N
OSSIAN, IN 46777",260 744-6145,2008-04-07,4,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G741,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"9824 TRENTMAN RD
FORT WAYNE, IN 46816",260 744-6145,2008-04-07,4,No,Non-Profit,"Vol-Merg, Close",2021-09-29
TRANSITIONAL SERVICES SUB LLC,15G742,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"369 W WASHINGTON ST
MORGANTOWN, IN 46160",812 597-4988,2008-04-18,8,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G743,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"10526 MORNING MIST TR
FORT WAYNE, IN 46804",260 744-6145,2008-05-28,6,No,For Profit,,
BONA VISTA PROGRAMS INC,15G744,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"2453 S 100 E
PERU, IN 46970",765 457-8273,2008-07-10,8,No,Non-Profit,,
RES CARE SOUTHEAST INDIANA,15G745,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"16611 SIMA GRAY RD
HENRYVILLE, IN 47126",812 294-1155,2008-06-29,4,No,Non-Profit,,
RES CARE SOUTHEAST INDIANA,15G746,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"16609 SIMA GRAY RD
HENRYVILLE, IN 47126",812 294-3322,2008-06-29,4,No,For Profit,,
"NEW HOPE OF INDIANA, INC",15G747,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"721 W 73RD
INDIANAPOLIS, IN 46260",317 338-9600,2008-06-13,4,No,Non-Profit,,
DUNGARVIN INDIANA LLC,15G748,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"821 SUNSET DR
FLORA, IN 46929",800 735-3477,2008-08-08,4,No,For Profit,,
RES CARE SOUTHEAST INDIANA,15G749,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"16613 SIMA GRAY RD
HENRYVILLE, IN 47126",812 258-2370,2008-08-11,4,No,For Profit,,
DUNGARVIN INDIANA LLC,15G750,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"60680 LILAC RD
SOUTH BEND, IN 46614",800 735-3477,2008-09-04,4,No,For Profit,,
EASTER SEALS ARC OF NORTHEAST INDIANA,15G751,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"4915 HAFFNER DR
FORT WAYNE, IN 46835",260 456-4534,2008-10-16,6,No,Non-Profit,,
EASTER SEALS ARC OF NORTHEAST INDIANA,15G752,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"9104 STRATHMORE LN
FORT WAYNE, IN 46818",260 456-4534,2008-12-11,6,No,Non-Profit,,
YOUR FRIENDS AND NEIGHBORS INC,15G754,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"5025 N 50 E
SHELBYVILLE, IN 46176",317 398-2544,2009-02-24,4,No,For Profit,"Vol-Merg, Close",2010-10-13
YOUR FRIENDS AND NEIGHBORS INC,15G755,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"4620 W 220 N
SHELBYVILLE, IN 46176",317 835-4516,2009-02-24,4,No,For Profit,"Vol-Merg, Close",2010-10-13
"YOUR FRIENDS & NEIGHBORS, INC",15G756,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"4700 W 220 N
SHELBYVILLE, IN 46176",317 835-2166,2009-02-24,4,No,For Profit,Invol-Fail Req,2010-08-05
DUNGARVIN INDIANA LLC,15G757,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"304 3RD ST
FLORA, IN 46929",800 735-3477,2009-08-04,4,No,Non-Profit,,
TRADEWINDS SERVICES INC,15G758,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"665 E BURRELL DR
CROWN POINT, IN 46307",219 945-0100,2009-09-22,8,No,Non-Profit,,
PEJUS INC,15G759,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"17495 CLEVELAND
SOUTH BEND, IN 46635",574 277-4337,2009-10-14,4,No,For Profit,"Vol-Merg, Close",2010-10-13
DUNGARVIN INDIANA LLC,15G760,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"5138 GREENVIEW CT
BATTLE GROUND, IN 47920",800 735-3477,2010-02-24,4,No,Non-Profit,,
DUNGARVIN INDIANA LLC,15G761,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"60650 LILAC RD
SOUTH BEND, IN 46614",800 735-3477,2010-03-03,4,No,For Profit,,
COMMUNITY LIVING INC,15G762,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"429 N SUPERIOR ST
ANGOLA, IN 46703",260 665-7681,2010-04-20,4,No,For Profit,"Vol-Merg, Close",2013-05-01
TRANSITIONAL SERVICES SUB LLC,15G763,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"114 S CHESTNUT ST
HUNTINGBURG, IN 47542",812 683-5175,2010-04-26,8,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G764,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"1726 OLD LANTERN TR
FORT WAYNE, IN 46845",260 744-6145,2010-07-30,8,No,Non-Profit,,
PATHFINDER SERVICES INC,15G765,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"2033 DUNCAN DR
HUNTINGTON, IN 46750",800 833-1571,2010-09-15,4,No,Non-Profit,"Vol-Merg, Close",2018-07-26
BENCHMARK HUMAN SERVICES,15G766,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"10036 CROWN POINT
FORT WAYNE, IN 46804",260 744-6145,2010-09-23,8,No,For Profit,,
AWS,15G767,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"ST JOE PLACE 3350 ACADEMIC PLACE APT 101
FORT WAYNE, IN 46835",260 744-6145,2010-10-27,6,No,For Profit,"Vol-Merg, Close",2011-01-20
AWS,15G768,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"ST JOE PLACE 3350 ACADEMIC PLACE APT 104
FORT WAYNE, IN 46835",260 744-6145,2010-10-27,6,No,For Profit,"Vol-Merg, Close",2011-05-17
AWS,15G769,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"ST JOE PLACE 3430 ACADEMIC PLACE APT 103
FORT WAYNE, IN 46835",260 744-6145,2010-10-27,6,No,For Profit,"Vol-Merg, Close",2011-06-30
AWS,15G770,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"ST JOE PLACE 3380 ACADEMIC DRIVE APT #101
FORT WAYNE, IN 46835",260 744-6145,2010-10-27,6,No,For Profit,"Vol-Merg, Close",2011-05-17
AWS,15G771,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"ST JOE PLACE 3560 ACADEMIC PLACE APT 103
FORT WAYNE, IN 46835",260 744-6145,2010-10-27,6,No,For Profit,"Vol-Merg, Close",2011-01-20
AWS,15G772,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"ST JOE PLACE 3520 ACADEMIC PLACE APT 101
FORT WAYNE, IN 46835",260 744-6145,2010-10-27,6,No,Non-Profit,"Vol-Merg, Close",2011-06-30
AWS,15G773,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"ST JOE PLACE 3420 ACADEMIC PLACE APT 104
FORT WAYNE, IN 46835",260 744-6145,2010-10-27,6,No,For Profit,"Vol-Merg, Close",2011-04-08
AWS,15G774,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"ST JOE PLACE 3390 ACADEMIC PLACE APT 103
FORT WAYNE, IN 46835",260 744-6145,2010-11-01,6,No,For Profit,"Vol-Merg, Close",2011-06-30
AWS,15G775,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"ST JOE PLACE 3510 ACADEMIC PLACE APT 102
FORT WAYNE, IN 46835",260 744-6145,2010-11-01,6,No,For Profit,"Vol-Merg, Close",2011-06-30
ADEC INC,15G776,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"52035 TARA DR
SOUTH BEND, IN 46628",574 848-7453,2010-11-06,8,No,Non-Profit,,
ADEC INC,15G777,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"2825 ROOSEVELT AVE
ELKHART, IN 46517",574 848-7453,2010-11-06,8,No,Non-Profit,"Vol-Merg, Close",2011-06-30
ADEC INC,15G778,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"217 NEWBURG DRIVE APT D
MISHAWAKA, IN 46545",574 848-7451,2010-11-24,8,No,Non-Profit,"Vol-Merg, Close",2011-07-01
ADEC INC,15G779,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"10125 HEATHER LAKES DR
OSCEOLA, IN 46561",574 848-7453,2010-11-06,8,No,Non-Profit,,
ADEC INC,15G780,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"3433 NEWBURG CT, APT D
MISHAWAKA, IN 46545",574 848-7453,2010-11-06,8,No,Non-Profit,"Vol-Merg, Close",2010-12-30
AWS,15G781,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"3451 SANDSTONE CIRCLE APT 1122
COLUMBUS, IN 47201",260 744-6145,2010-11-24,4,No,Non-Profit,"Vol-Merg, Close",2011-04-29
ADEC INC,15G782,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"19816-2 STATE ROAD 120
BRISTOL, IN 46507",574 848-7453,2010-11-06,8,No,Non-Profit,"Vol-Merg, Close",2011-07-01
AWS,15G784,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"4700 WEST 220 NORTH
SHELBYVILLE, IN 46176",260 744-6145,2011-01-04,4,No,Non-Profit,"Vol-Merg, Close",2011-07-12
AWS,15G785,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"4620 WEST 220 NORTH
SHELBYVILLE, IN 46176",260 744-6145,2010-12-16,4,No,Non-Profit,"Vol-Merg, Close",2011-04-08
PATHFINDER SERVICES INC,15G786,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"1570 JESSUP STREET
HUNTINGTON, IN 46750",800 833-1571,2010-11-03,8,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G787,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"5515 TOMAHAWK TR
FORT WAYNE, IN 46804",260 744-6145,2011-01-19,8,No,For Profit,,
BENCHMARK HUMAN SERVICES,15G788,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"3512 ROSEWOOD DR
FORT WAYNE, IN 46804",260 744-6145,2011-01-19,8,No,For Profit,,
BONA VISTA PROGRAMS INC,15G789,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"3770 W 80 N
KOKOMO, IN 46901",765 457-8273,2011-03-16,8,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G790,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"7137 ROSE ANN PKWY
FORT WAYNE, IN 46804",260 744-6145,2011-04-08,8,No,For Profit,,
DUNGARVIN INDIANA LLC,15G791,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"474 WHITEWOOD DR
VALPARAISO, IN 46385",800 735-3477,2011-04-15,4,No,For Profit,,
BENCHMARK HUMAN SERVICES,15G792,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"9285 W CR 950 N
ELIZABETHTOWN, IN 47232",260 744-6145,2011-04-29,4,No,For Profit,,
DUNGARVIN INDIANA LLC,15G793,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"113 S 325 E
VALPARAISO, IN 46385",800 735-3477,2011-06-14,4,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G794,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"9110 N CR 700 W
SCIPIO, IN 47273",260 744-6145,2011-05-11,4,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G795,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"9228 W CR 950 N
ELIZABETHTOWN, IN 47232",260 744-6145,2011-05-13,4,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G796,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"6856 WHEELOCK RD
FORT WAYNE, IN 46835",260 744-6145,2011-05-17,8,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G797,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"9029 S AMERICA RD
LA FONTAINE, IN 46940",260 744-6145,2011-06-08,4,No,For Profit,,
BENCHMARK HUMAN SERVICES,15G798,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"8424 FANTASIA WAY
FORT WAYNE, IN 46809",260 744-6145,2011-05-17,8,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G799,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"10633 S AMERICA RD
LA FONTAINE, IN 46940",260 749-6145,2011-06-10,4,No,For Profit,,
ADEC INC,15G800,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"6803 LUTZ DR
SOUTH BEND, IN 46614",574 848-7457,2011-06-30,8,No,Non-Profit,,
ADEC INC,15G801,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"6712 MACKEY CT
SOUTH BEND, IN 46614",574 848-7451,2011-06-30,8,No,Government,,
BONA VISTA PROGRAMS INC,15G802,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"112 E WESTMORELAND
KOKOMO, IN 46901",765 457-8273,2011-06-16,8,No,Non-Profit,,
BENCHMARK HUMAN SERVICES,15G803,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(V) Chicago,IN,"7004 HOLDEN DR
FORT WAYNE, IN 46835",260 744-6145,2011-06-30,8,No,Non-Profit,,
