clean_owner,HFCISFacilityAddress,HFCISFacilityCity,HFCISFacilityCounty,HFCISFacilityID,HFCISFacilityName,HFCISFacilityZIPCode,HFCISNPINumber,HFCISFacilityProviderNumber,HFCISInitialLicenseDate
"JANET'S ENTERPRISE, INC.",6781 Cherimoya Ave,Fontana,SAN BERNARDINO,240000136,SYCAMORE HOUSE,92336,1699312579,05G167,
ARC - Imperial Valley,585 Snapdragon Way,Imperial,IMPERIAL,090000081,WILDFLOWER,92251,1588799670,55G027,
American Star Home,125 Brownstone Road,Oakley,CONTRA COSTA,140001322,AMERICAN STAR HOME III,94561,1013194497,05G744,2004-08-01
"VillaDel, Inc.",263 Ahmu Terrace,Vista,SAN DIEGO,630003961,SAVA HOME,92084,1962541177,55G550,2006-03-10
"Duke Facilities, Inc.",238 Vincente Way,Stockton,SAN JOAQUIN,100001687,"DUKE FACILITIES, INC. #2",95207,1154470953,55G393,2001-06-27
"OPTIONS FAMILY OF SERVICES, INC.",4087 Hillview Rd,Santa Maria,SANTA BARBARA,050000720,ORCUTT HOUSE,93455,1154407773,05G740,1993-10-07
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,10458 Amestoy Ave,Granada Hills,LOS ANGELES,960002027,UCP AMESTOY NORTH,91344,1700038940,05G974,1996-02-09
Home of Guiding Hands Corporation,10436 Reginas Ct,Santee,SAN DIEGO,090001556,REGINAS COURT,92071,1225092661,55G362,
"Family Homes, Inc.",853 Newman Dr,South San Francisco,SAN MATEO,220000805,BYRON ICF/DDH HOME,94080,1275697211,05G855,1994-05-16
BrightSpring,2130 E 8th St,National City,SAN DIEGO,090001239,VIEW POINTE,91950,1427284843,05G851,1995-02-23
BrightSpring,5475 College Ave,Riverside,RIVERSIDE,250000113,COLLEGE HOUSE,92505,1760519128,05G158,1986-08-21
ARC - Imperial Valley,548 Mesquite St,Imperial,IMPERIAL,090000078,ARC IMPERIAL VALLEY #1,92251,1588799670,05G113,
"Independent Options, Inc.",2625 Sherwood Ave,Fullerton,ORANGE,060001481,"INDEPENDENT OPTIONS, INC. SHERWOOD HOUSE",92831,1851463483,55G025,1996-10-01
"Allen-Florer Family Homes, Inc.",5704 N Wheeler Ave,Fresno,FRESNO,040001378,ALLEN-FLORER FAMILY HOME - WHEELER,93722,1922237098,55G478,2003-02-20
Valley Village,13450 Bradley Ave,Sylmar,LOS ANGELES,960001471,VALLEY VILLAGE BRADLEY HOUSE,91342,1891847406,05G591,1992-06-04
National Mentor Healthcare LLC,304 Joelyle St,Bakersfield,KERN,120000903,"LOYD'S LIBERTY HOMES, INC. - JOELYLE",93314,1326255498,05G765,1994-01-12
Home of Guiding Hands Corporation,1243 Bermuda Ln,El Cajon,SAN DIEGO,090000097,VERBECK HOUSE,92021,1952362758,05G120,
"JANET'S ENTERPRISE, INC.",2107 E Jane St,San Bernardino,SAN BERNARDINO,240000120,LA PAIX HOUSE,92404,1265070064,05G051,1982-10-27
"Temple Garden Homes For The Dev. Disabled, Inc.",10202 Green St,Temple City,LOS ANGELES,960002877,TEMPLE GARDEN HOMES #5,91780,1366580052,55G538,2004-11-12
Samy Vunderman,21238 Royal Avenue,Hayward,ALAMEDA,020000109,SUNSHINE ICF/DDH #2,94541,1730371725,05G781,
"New Way Services, Inc.",2601 Truman Court,Antioch,CONTRA COSTA,140001334,NEW WAY ICF/DD-H #1,94509,1851463111,05G953,1997-01-01
MJ Asset Services LLC,1315 W Merced Ave,West Covina,LOS ANGELES,630017172,CANDLELIGHT HOME MERCED,91790,1336696046,,2019-04-16
BrightSpring,305 Armstrong Dr,Claremont,LOS ANGELES,960001975,ARMSTRONG HOUSE,91711,1215064589,05G964,1996-01-29
Dumolin Service Corporation,6133 Old Redwood Hwy,Santa Rosa,SONOMA,010000801,DANNY'S PLACE,95403,1902839962,55G064,1997-01-20
Virginia Raso,16624 Sunburst St,North Hills,LOS ANGELES,960002089,SUNBURST CARE CENTER,91343,1811105919,55G761,1997-03-10
National Mentor Healthcare LLC,7604 Kroll Way,Bakersfield,KERN,120000684,"LOYD'S LIBERTY HOMES, INC. - KROLL WAY",93309,1982812939,05G946,1994-01-12
Vernon Davidson &amp; Julie Davidson,2834 Marie Ln,Merced,MERCED,040000617,DAVIDSON CHILDRENS HOME/MARIE LANE,95340,1346437050,05G467,1990-07-09
"New Way Services, Inc.",94 Atherton Circle,Pittsburg,CONTRA COSTA,140001314,NEW WAY ICF/DD-H #5,94565,1750444345,05G295,1997-02-01
BrightSpring,1447 Love Way,Auburn,PLACER,100001432,RCCA - LOVE WAY,95603,1659407575,55G076,1996-10-09
Ability Pathways Incorporated,4853 Moreno St,Montclair,SAN BERNARDINO,240001711,MORENO DIVISION,91763,1851429831,55G311,1999-10-06
"Michael's Project, Inc.",3038 Pecan Cir,Fairfield,SOLANO,630013392,PATHWAYS III,94533,1952687279,55G697,2012-04-24
"Angel View, Inc.",3566 N Eastgate Rd,Palm Springs,RIVERSIDE,250000830,WILLIAM DEMAREST CANYON COUNTRY CLUB HOUSE,92262,1104963974,05G509,1990-02-09
"Dalton Avenue Homes, Inc.",15918 S Dalton Ave,Gardena,LOS ANGELES,960002416,"LOOP HOME FOUNDATION, INC. II",90247,1659589869,55G259,1999-02-12
"Casa Health Care, Inc.",1339 Monte Verde Ave,Upland,SAN BERNARDINO,240001896,CASA #4,91786,1366578668,55G470,2003-03-21
EPIPHANY CARE HOMES INC,2331 Knollhaven Street,Simi Valley,VENTURA,050000604,MOONSTONE HOME ICF/DD-N,93065,1083741151,05G538,1991-07-31
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,1729 252nd St,Lomita,LOS ANGELES,960000997,UCP/SCF ICF/DD-H HARBOR,90717,1518119775,05G285,1987-12-18
BrightSpring,9939 La Vine St,Rancho Cucamonga,SAN BERNARDINO,240001195,LA VINE HOUSE,91701,1841327285,05G666,1993-05-28
Butler Valley Inc.,3971 F St,Eureka,HUMBOLDT,010000088,BUTLER VALLEY #2,95503,1700068111,05G154,1985-11-01
Dumolin Service Corporation,2793 Victoria Dr,Santa Rosa,SONOMA,010000572,VICTORIA DRIVE HOUSE,95407,1902839962,05G550,1991-10-16
BrightSpring,2312 E 17th St,San Bernardino,SAN BERNARDINO,240000854,SEVENTEENTH STREET HOUSE,92404,1942337217,05G470,1990-08-23
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,2170 N Westlake Blvd,Westlake Village,VENTURA,050000468,UCP/SCF HILLCREST ICF/DD-N,91362,1720254535,05G321,1988-04-21
"Community Education Associates, Inc.",1115 Torino Pl,Pomona,LOS ANGELES,960001810,DIAMOND RANCH,91766,1790831766,05G865,1994-10-01
"Friends and Family Home, Inc.",225 Almaden Way,San Mateo,SAN MATEO,630011602,ALMADEN HOME ICF/DD-N,94403,1285860130,55G628,2008-06-23
RDD ICF INC.,741 Ada St,San Mateo,SAN MATEO,220000872,CRANE HOUSE,94401,1134347834,55G026,1996-05-29
BrightSpring,2244 E 4th St,National City,SAN DIEGO,630002741,ALFRED AND ELAINE BARRACK HOME,91950,1417183831,55G554,2006-10-16
"Independent Options, Inc.","2525 Santa Catalina Dr, Suite 105",Costa Mesa,ORANGE,060000971,"INDEPENDENT OPTIONS, INC. HARBOR VILLAGE III",92626,1851463483,05G475,1990-04-10
"Jan &amp; Gail's Care Homes, Inc.",3250 W Loyola Ave,Visalia,TULARE,120001559,JAN & GAIL'S CARE HOME #3,93277,1366579641,55G340,2000-06-26
"Harbor Health Care, Inc.",11662 Arkansas St,Artesia,LOS ANGELES,960000981,"HARBOR HEALTH CARE, INC. - ARKANSAS DIVISION",90701,1790812311,05G233,1986-08-14
EPIPHANY CARE HOMES INC,1260 West Indigo Place,Oxnard,VENTURA,050000612,SEASHORE HOME,93030,1497882591,05G556,1991-09-23
The Olive Leaf,19133 Ingomar Street,Reseda,LOS ANGELES,960002816,THE OLIVE LEAF,91335,1316045388,55G505,2004-06-16
"Healthy Point, Inc.",9200 Kewen Street,Sun Valley,LOS ANGELES,630017056,HEALTHY POINT HOMES,91352,1750733655,55G767,2017-10-21
D &amp; E Homes,10317 Diane Ave,Buena Park,ORANGE,060001376,ALL AMERICAN HOME,90620,1861579468,05G967,1995-10-16
"Family Homes, Inc.",830 Newman Dr,South San Francisco,SAN MATEO,220000937,NEWMAN ICF/DDN HOME,94080,1356408314,55G147,1997-04-01
Florencia  Pilpa,9556 Broadway,Temple City,LOS ANGELES,960002115,TEMPLE GARDEN HOMES #3,91780,1083752810,55G174,1997-06-05
Carcido's Homes. Inc.,8514 Colonial Drive,Stockton,SAN JOAQUIN,100001166,CARCIDO'S ICF/DD-H #1,95209,1447466321,05G694,1993-08-11
Ability Pathways Incorporated,9003 Terhune Ave,Sun Valley,LOS ANGELES,960000939,TERHUNE DIVISION,91352,1790813822,05G208,1988-04-01
Ability Pathways Incorporated,1895 S Coloma St,Loma Linda,SAN BERNARDINO,240001838,COLOMA DIVISION,92354,1205965571,55G376,2001-04-10
BrightSpring,21334 Cold Spring Ln,Diamond Bar,LOS ANGELES,630014292,COLD SPRINGS HOME,91765,1992143275,55G712,2013-11-19
Home of Guiding Hands Corporation,2198 Cumbre Pl,El Cajon,SAN DIEGO,090001576,CUMBRE,92020,1124083738,55G431,2002-05-08
"Imperial Park, Inc",3323 E Imperial Hwy,Lynwood,LOS ANGELES,630013557,"IMPERIAL PARK, INC.",90262,1518007970,55G683,2012-01-15
"T.E.R.I., Inc.",4602 Allende Ave,Oceanside,SAN DIEGO,090001599,MCNEALY HOUSE,92057,1962488007,55G578,2004-11-18
"Chateau Residential Care, LLC",1227 S Washington Ave,Compton,LOS ANGELES,630013691,CHATEAU RESIDENTIAL CARE,90221,1578011839,55G745,2012-08-08
Milestones Of Development Inc.,132 Terrybrook Ln,Vallejo,SOLANO,010000163,MILESTONES OF DEVELOPMENT #4,94591,1174731061,05G091,1983-05-03
"Bethesda Lutheran Communities, Inc.",5704 Charleville Ln,Bakersfield,KERN,120000466,BETHESDA LUTHERAN COMMUNITIES-CHARLEVILLE,93312,1417010604,05G278,1987-10-22
"Gapasin Manor, Inc.",2325 Stanfield Drive,Stockton,SAN JOAQUIN,100001424,GAPASIN MANOR ICF DDN #2,95209,1194939025,05G965,1996-02-06
Jasmine Badillo &amp; Teresita Reyes,219 Torrey Pines Ct,Vallejo,SOLANO,010000860,GREENFIELDS I ICF-DDN,94591,1295945244,55G133,1997-09-22
JESSIE HOPKINS HINCHEE FOUNDATION,825 N Kellogg Ave,Santa Barbara,SANTA BARBARA,050000079,MILTON HOUSE,93111,1871519595,05G105,1984-02-23
"Bailey Care Homes, Inc.",9811 S Denker Ave,Los Angeles,LOS ANGELES,630004441,BAILEY CARE HOME 1,90047,1538385729,55G558,2006-06-12
BrightSpring,2662 Kevin Ct,Riverside,RIVERSIDE,250000762,KEVIN HOUSE,92506,1427185883,05G405,1989-10-19
"Angel's Home ICF, Inc.",10712 Waterbury Drive,Stockton,SAN JOAQUIN,630015801,"ANGEL'S HOME ICF, INC.",95209,1205224334,55G743,2015-08-20
Valley Care Residential,6537 N 7th St,Fresno,FRESNO,040001335,PAUL HOUSE,93710,1194851915,55G407,2001-10-29
EPIPHANY CARE HOMES INC,2090 Bolivar Ct,Simi Valley,VENTURA,050000452,CORAL HOME ICF/DD-N,93063,1679600332,05G303,1988-04-01
"Community Education Associates, Inc.",1171 Maple View Dr,Pomona,LOS ANGELES,960002705,JADE RANCH,91766,1235285990,55G422,
"Great Expectations Services, Inc.",311 Del Flora St,Oceanside,SAN DIEGO,630002501,ANDRU HOME,92058,1801981667,55G523,2005-08-04
"Margaret's Villa, Inc.",24091 Via Luisa,Mission Viejo,ORANGE,060001970,MARGARET'S HOME,92691,1790875441,55G412,2001-08-09
"Brandt Group Homes, Inc.",3653 Centinella Drive,North Highlands,SACRAMENTO,100000999,JEAN MARTIN HOME #3,95660,1699815274,05G511,1991-04-22
"Gabriel's Care Homes, Inc.",2155 W. Elm Street,Lodi,SAN JOAQUIN,100001371,GABRIEL'S ICF/DDN,95242,1104976794,05G983,1996-03-26
BrightSpring,2765 28th St,Highland,SAN BERNARDINO,240001052,VICTORIA HOUSE,92346,1104953470,05G573,1992-04-24
"Higher Ground Homes, Inc.",302 Balboa Dr,Delano,KERN,120001037,"HIGHER GROUND HOMES, INC. #2",93215,1861785842,05G868,1995-04-05
Ability Pathways Incorporated,5283 Eagle Dale Ave,Los Angeles,LOS ANGELES,960000915,EAGLEDALE DIVISION,90041,1033247440,05G352,1988-11-01
Jonbec Care Incorporated,35679 Date St,Yucaipa,SAN BERNARDINO,240000585,YORK HOUSE,92399,1255471843,05G304,1988-04-05
Ability Pathways Incorporated,1291 Loma Sola Ave,Upland,SAN BERNARDINO,240001394,LOMA SOLA DIVISION,91786,1164606380,05G882,1995-06-12
"Monte Vista Child Care Center, Inc.",9420 Columbine Ave,Montclair,SAN BERNARDINO,240000993,COLUMBINE HOUSE,91763,1649422080,55G655,1992-04-03
"Seacliff ICF/DD-H, Inc.",2040 Sea Cliff Way,San Bruno,SAN MATEO,220001127,"SEACLIFF ICF/DD-H, INC.",94066,1427108620,55G410,2001-06-05
"Mark's Growing Center, Inc.",200 Peach Tree Ave,Vacaville,SOLANO,010000620,MUSTARD SEED,95688,1114138559,05G626,1992-12-15
The Arc of San Diego,8513 Atlas View Dr,Santee,SAN DIEGO,090000218,SANTANA HOUSE,92071,1215119045,05G098,1983-08-19
"Lifehouse, Inc.",2 Stonehaven Ct,Novato,MARIN,010001031,STONEHAVEN,94947,1770740623,05G903,
"B &amp; D Morgan, Inc.",810 S Leila St,Visalia,TULARE,120001534,NEW HORIZONS - LEILA,93277,1851429252,55G054,1997-01-02
LESSING  IVERSON ,4615 Cameo Dr,Santa Maria,SANTA BARBARA,630010341,CASA DEL MAR,93455,1689850802,55G589,2007-05-17
"Therapeutic Living Centers for the Blind, Inc.",8808 Woodley Ave,North Hills,LOS ANGELES,960002894,TLC WOODLEY HOUSE,91343,1295944023,55G555,
OPEN ARMS LIMITED LIABILITY COMPANY,325 W Regent St,Inglewood,LOS ANGELES,630000341,OPEN ARMS ICF/DD-N,90301,1134341878,55G601,2006-07-13
"United Care Provider, Inc.",12842 Glenmere Dr,Moreno Valley,RIVERSIDE,250001077,SAINT FRANCIS HOME,92553,1780655720,05G604,1992-06-09
"Leadwell Care Home, Inc.",17256 Leadwell St,Van Nuys,LOS ANGELES,630014302,LEADWELL CARE HOME,91406,1356747059,55G716,2013-10-04
BrightSpring,1645 Pereira Dr,San Luis Obispo,SAN LUIS OBISPO,050001347,PEREIRA DRIVE HOME,93405,1902933666,55G299,1999-08-04
Jonbec Care Incorporated,1126 E Central Ave,Redlands,SAN BERNARDINO,240000747,LANCASTER HOUSE,92374,1679614218,05G417,1989-10-02
BrightSpring,1412 Ocala Ct,Chula Vista,SAN DIEGO,630010896,OCALA COURT,91911,1205061645,55G611,2008-07-31
National Mentor Healthcare LLC,6249 N Feland Ave,Fresno,FRESNO,040000532,"LOYD'S LIBERTY HOMES, INC. - FELAND",93711,1861614265,05G345,1988-10-07
Gapuz Incorporated,409 Woodstock Drive,Stockton,SAN JOAQUIN,630014990,ST. PAUL'S ICFDDN,95207,1952728412,55G739,2015-04-29
"Woodland Residential Services, Inc.",303 Elliot Street,Woodland,YOLO,100001449,"WRS INC., ELLIOT PROGRAM",95695,1811104797,55G338,1996-10-18
"Berkshire Manor, Inc.",2820 Berkshire Dr,San Bruno,SAN MATEO,220001166,"BERKSHIRE MANOR, INC.",94066,1073663274,55G499,
"PSB Homes, Inc.",4742 Via Del Rancho,Yorba Linda,ORANGE,060001652,CASA DE YORBA LINDA,92886,1609195221,55G297,1999-08-06
BrightSpring,2520 Mark Ln,Costa Mesa,ORANGE,630012459,MARK LANE ONE,92626,1477785608,55G639,2010-03-02
"Harbor Health Care, Inc.",9634 Rose St,Bellflower,LOS ANGELES,960001071,MINUET DIVISION,90706,1194853499,05G422,1989-10-24
Mountain Shadows Support Group,689 Dane Dr,San Marcos,SAN DIEGO,630015373,MOUNTAIN SHADOWS COMMUNITY HOMES - FIG,92069,1992107221,55G731,2015-04-07
Henry J. & Susan G. Martinez,13111 Bluefield Ave,La Mirada,LOS ANGELES,960002173,G M HOME I,90638,1982812186,55G186,1997-12-15
"Tranquility Homes, Inc.",1670 Memory Ln,Porterville,TULARE,120001495,"TRANQUILITY HOMES, INC",93257,1922582568,05G787,1994-07-21
"Pilar M. De Castro &amp; Co., Inc.",2540 W Gramercy Ave,Anaheim,ORANGE,060001605,SAN ALTO HOME,92801,1316021942,55G203,1998-06-09
"Bethesda Lutheran Communities, Inc.",861 N Rogers Ave,Clovis,FRESNO,040000647,BETHESDA LUTHERAN COMMUNITIES - ROGERS,93611,1417010604,05G523,1991-05-10
"Jenymel's Home Care, Inc.",18314 Ibex Ave,Artesia,LOS ANGELES,960002036,JENYMEL'S HOME CARE INC. III,90701,1811156524,55G030,1996-07-25
"Independent Options, Inc.",9653 Derby Dr,Riverside,RIVERSIDE,250000114,DERBY HOUSE,92509,1851463483,05G163,
Ability Pathways Incorporated,862 W 23rd St,Upland,SAN BERNARDINO,240001673,SHEPHERD DIVISION,91784,1033247010,55G170,1998-02-25
"T.E.R.I., Inc.",758 S Melrose Dr,Vista,SAN DIEGO,090000993,MARSHALL HOUSE,92081,1962488007,05G600,1992-08-01
"Mountain View Child Care, Inc.|The Nydam Limited Partnership",1720 Mountain View Ave,Loma Linda,SAN BERNARDINO,240000127,CIRCLEBROOK,92354,1669509402,05G100,1983-08-11
"Angel View, Inc.",30400 Desert Palm Dr,Thousand Palms,RIVERSIDE,250001210,FLEMING-HEIMARK HOUSE,92276,1538206388,05G680,1993-05-25
Charlex Corporation U.S.A.,16829 Daryl Avenue,San Lorenzo,ALAMEDA,020000677,SUNSHINE ICF/DDH #5,94580,1255525572,05G435,1989-10-18
"Angel View, Inc.",67440 Desert View Ave,Desert Hot Springs,RIVERSIDE,250000694,JOEL'S HOUSE,92240,1093852865,05G394,1989-07-07
Jonbec Care Incorporated,"13131 6th Pl, Unit 3",Yucaipa,SAN BERNARDINO,240000648,SALISBURY HOUSE,92399,1144401001,05G360,1988-11-14
"Independent Options, Inc.",1737 Stanley Ave,Placentia,ORANGE,060000517,"INDEPENDENT OPTIONS, INC. STANLEY HOUSE",92870,1851463483,05G231,1986-10-20
GL&amp;SON LLC,8010 Sunrise Blvd,Citrus Heights,SACRAMENTO,630018445,SUNRISE ICF DD-N,95610,1790298859,,2020-02-06
Jonbec Care Incorporated,1956 Hardt St,Loma Linda,SAN BERNARDINO,240000131,ROSEBUD DIVISION,92354,1538209127,05G189,1985-02-19
"Villa de Martin Jude Homes, Inc.",2204 S Atlanta St,Anaheim,ORANGE,630003462,ATLANTA HOUSE,92802,1194808261,55G548,2006-03-15
Mountain Shadows Support Group,2067 W El Norte Pkwy,Escondido,SAN DIEGO,090000317,MOUNTAIN SHADOWS COMMUNITY HOMES - MAPLE,92026,1871618033,05G483,
BrightSpring,611 S Central Ave,Glendale,LOS ANGELES,960000949,"GLENRIDGE CENTER, #140",91204,1477688810,05G020,1965-06-09
Mouri Management Group Incorporated,2492 Aram Ave,San Jose,SANTA CLARA,070001362,SHINRAI-ARAM ,95128,1205019767,55G482,2003-04-14
St. Mary Investments,14901 Condon Ave,Lawndale,LOS ANGELES,960002077,MARY'S HOUSE,90260,1568679959,55G109,1996-12-20
"Gapasin Manor, Inc.",3813 Steedman Way,Stockton,SAN JOAQUIN,100001511,GAPASIN MANOR ICF DDN #3,95209,1912111840,55G136,1997-06-01
Tupaz Homes LLC,18241 Vanderbilt Dr,Saratoga,SANTA CLARA,220001194,TUPAZ HOME #12,95070,1992916399,55G533,2004-05-06
"Therapeutic Living Centers for the Blind, Inc.",18640 Elkwood St,Reseda,LOS ANGELES,960001821,TLC - ELKWOOD HOUSE,91335,1659581148,05G881,1995-03-31
"Independent Options, Inc.",2500 Mark Ln,Costa Mesa,ORANGE,060001078,"INDEPENDENT OPTIONS, INC. MARK LANE I",92626,1851463483,05G548,1991-08-30
"Great Expectations Services, Inc.",305 Carlson Ct,Vista,SAN DIEGO,090001592,AMBER HOME,92083,1497924823,55G469,2003-04-28
"United Care Provider, Inc.",16765 Lawnwood St,La Puente,LOS ANGELES,960001765,ST. MARY'S HOME ICF - DDN,91744,1952372997,05G811,1994-05-25
BrightSpring,6083 Newcomb St,San Bernardino,SAN BERNARDINO,240001075,NEWCOMB HOUSE,92404,1295862563,05G587,1992-05-26
YOFILI,1774 Caballero St,Simi Valley,VENTURA,630012822,YOFILI,93065,1164741765,55G705,2011-02-10
"Bright Expectations, Inc.",5593 Avenue Juan Bautista,Riverside,RIVERSIDE,250001441,JUAN BAUTISTA,92509,1073788378,05G931,1995-10-27
National Mentor Healthcare LLC,7200 Altaville Ln,Bakersfield,KERN,120000656,"LOYD'S LIBERTY HOMES, INC. - ALTAVILLE LANE",93309,1447466818,05G629,1994-01-12
"Bethesda Lutheran Communities, Inc.",25315 Parthenon Ave,Mission Viejo,ORANGE,060000079,BETHESDA LUTHERAN COMMUNITIES  - PARTHENON,92691,1417010604,05G198,1985-11-14
"Cornerstone Living Skills, Inc.",920 Baird Rd,Santa Rosa,SONOMA,010000703,BAIRD HOUSE,95409,,05G770,1994-06-21
"JANET'S ENTERPRISE, INC.",6979 Mesada St,Rancho Cucamonga,SAN BERNARDINO,240000633,KENYON HOUSE,91701,1720626815,05G328,1988-09-16
Home of Guiding Hands Corporation,10474 Strathmore Dr,Santee,SAN DIEGO,090001316,MILLER HOME,92071,1316909336,55G245,1996-02-23
Villa Esperanza Services,1115 N Chester Ave,Pasadena,LOS ANGELES,630014108,CHESTER HOUSE,91104,1396188397,55G723,2014-12-01
"Cameo Care, Inc.",865 Alta Loma Dr,South San Francisco,SAN MATEO,220001157,CAMEO ICF/DDH HOME,94080,1326104522,55G481,2002-04-30
"Harbor Health Care, Inc.",13556 Destino St,Cerritos,LOS ANGELES,960000973,"HARBOR HEALTH CARE, INC. - DESTINO DIVISION",90703,1437287711,05G223,
"Antioch ICF, Inc.",3359 South Francisco Way,Antioch,CONTRA COSTA,140001348,FRANCISCO ICF,94509,1538388038,55G240,2004-05-24
MCR Care Inc.,2223 Golden Dew Cir,San Jose,SANTA CLARA,630014667,"GOLDEN CIRCLE, ICF-DDN",95121,1053659086,55G717,2014-03-18
"Bethesda Lutheran Communities, Inc.",24431 Regina St,Mission Viejo,ORANGE,060000080,BETHESDA LUTHERAN COMMUNITIES - REGINA,92691,1417010604,05G214,1985-11-12
Sierra Vista Residential Care Home,1412 N Maple St,Visalia,TULARE,120001544,SIERRA VISTA RESIDENTIAL CARE HOME #3,93292,1023200151,55G188,1997-12-22
"Diamond Garden Home Care, Inc.",15319 Spinning Ave,Gardena,LOS ANGELES,960001724,DIAMOND GARDEN,90249,1205010824,55G515,1993-10-08
Adams ICF/DD-N,1778 Adams St,San Mateo,SAN MATEO,220001141,ADAMS ICF/DD-N,94403,1023408929,55G444,2002-04-17
Villa Esperanza Services,427 N Craig Ave,Pasadena,LOS ANGELES,960001548,BROWN HOUSE,91107,1831305564,05G780,1992-11-05
BrightSpring,8525 Meandering Way,Antelope,SACRAMENTO,100001481,RCCA - PHOENIX,95843,1487781159,55G450,1997-02-14
"Developmental Client Care Industries, Inc.",13434 Reindeer St,Moreno Valley,RIVERSIDE,250001400,REINDEER HOUSE,92553,1689723439,05G893,1995-06-10
St. Joseph's Tower Inc.,1844 C Street,Rio Linda,SACRAMENTO,630015534,ST. JOSEPH'S TOWER ICF/DD-N,95673,1366845380,55G738,2015-07-09
"Central Valley TLCF, Inc.",1760 W Kanai Ave,Porterville,TULARE,120001513,"CENTRAL VALLEY TLCF, INC.",93257,1457577322,05G883,1995-06-28
"Zuha Homes, Inc.",4340 Fig Cir,La Verne,LOS ANGELES,960001323,QUARTZ HOUSE,91750,1417006347,05G525,1993-12-20
"HOLY FAMILY CHILDREN'S CARE, INC.",340 Calle Caballeros,Walnut,LOS ANGELES,630011598,ST. PHILOMENA CARE HOMES - I,91789,1821275637,55G625,2008-05-23
C.F.B. Inc.,11515 Amir Ct,Redding,SHASTA,230000558,RESIDENTIAL MANAGEMENT SERVICES,96003,1548476906,05G889,1995-06-23
"Our House Residential Care, Inc.",100 Berry Dr,Madera,MADERA,040000954,OUR HOUSE BERRY,93637,1700941267,05G929,1995-07-05
"Lonika's Home, Inc.",24336 Aphena Ave,Mission Viejo,ORANGE,060002269,LONIKA HOME APHENA,92691,1457428427,55G522,2004-10-28
Foothill Care Center,332 N Morris Ave,West Covina,LOS ANGELES,960002276,MORRIS HOME,91790,1871715193,55G310,1998-10-09
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,9205 White Oak Ave,Northridge,LOS ANGELES,960002763,UCP WHITE OAK,91325,1013169259,55G464,2003-01-31
CARING CONCERN RESIDENTIAL HOMES INC A CALIFORNIA CORPORATION,2116 Koala Way,Ventura,VENTURA,050001225,CARING CONCERN RESIDENTIAL HOMES INC - KOALA HOME,93003,1851587224,55G094,1997-03-24
"Pilar M. De Castro &amp; Co., Inc.",6052 San Yuba Way,Buena Park,ORANGE,060001150,SAN YUBA HOME,90620,1316021942,05G818,1992-04-09
"Solidum Care Homes, Inc.",3522 Otto Drive,Stockton,SAN JOAQUIN,630006461,SOLIDUM CARE HOME ICFDD-N #1,95209,1285821272,55G576,2006-08-29
BrightSpring,818 S Gilbuck Dr,Anaheim,ORANGE,060001577,GILBUCK DRIVE HOME,92802,1801922802,55G163,1998-01-05
"Noia Residential Services, Inc.",2036 W Fremont Ave,Fresno,FRESNO,040000535,CASA PICO,93711,1366595969,55G696,1988-07-05
BrightSpring,1382 Tobias Dr,Chula Vista,SAN DIEGO,630010891,TOBIAS DRIVE,91911,1922277698,55G587,2007-10-02
"Lonika's Home, Inc.",25622 Minos St,Mission Viejo,ORANGE,630011296,LONIKA HOME MINOS,92691,1457428427,55G600,2008-01-03
BrightSpring,499 River Oaks Dr,Yuba City,SUTTER,230000606,RCCA - RIVER OAKS,95991,1588790844,55G089,1996-10-03
New Horizon Integrated Care ICF DD-H Home Inc.,8812 Athens Ct,Anaheim,ORANGE,060001598,NEW HORIZON INTEGRATED CARE - ATHENS,92804,1164501912,55G377,1998-05-08
Slow Sculpture,5715 Monte Verde Dr,Santa Rosa,SONOMA,010001124,MONTE VERDE,95409,1831263078,55G355,2000-10-19
MVM Home,16230 S Orchard Ave,Gardena,LOS ANGELES,960002743,MVM HOME II,90247,,,2002-07-01
Mountain Shadows Support Group,2067 W El Norte Pkwy,Escondido,SAN DIEGO,090000136,MOUNTAIN SHADOWS COMMUNITY HOMES - PINE,92026,1831214071,05G183,1985-08-28
BrightSpring,3066 Camino Aleta,San Diego,SAN DIEGO,090001377,WILLOW SPRINGS,92154,1063648483,55G073,1997-01-24
LIFE OPTIONS VOCATIONAL & RESOURCE CENTER (LOVARC),229 N E St,Lompoc,SANTA BARBARA,050000678,LA PALOMA GROUP HOME,93436,1912126988,05G638,1993-02-04
"North Valley Developmental Services, Inc.",1916 Herbscenta Ln,Redding,SHASTA,230000597,NVDS - HERBSCENTA,96003,1174679583,55G198,1998-05-07
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,14470 Bledsoe St,Sylmar,LOS ANGELES,960000904,UCP/SCF ICF/DD-H BLEDSOE,91342,1154572782,05G275,1987-11-13
HILLSIDE HOUSE INC,1235 Veronica Springs Rd,Santa Barbara,SANTA BARBARA,050000052,HILLSIDE HOUSE INC,93105,1467653303,05G209,1955-04-27
P &amp; A Steele Inc.,20015 Road 212,Lindsay,TULARE,630002101,STEELE'S QUALITY LIVING,93247,1790900074,55G539,2005-09-07
